City_ID,City,Country,Max_Temp,Current Description,Lat,Lng,Hotel Name
338,Namatanai,PG,78.8,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
342,Pangai,TO,75.92,few clouds,-19.8,-174.35,Ha'apai Beach Resort
347,Amalapuram,IN,83.48,broken clouds,16.5833,82.0167,swayamprabha service apartments
348,Sancti Spiritus,CU,82.2,few clouds,21.9297,-79.4425,Hostal El Parque
349,Arcachon,FR,81.41,broken clouds,44.5875,-1.0519,Hôtel All Suites Le Teich
352,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
356,Concarneau,FR,73.81,broken clouds,47.875,-3.9225,Brit Hotel de L' Océan
364,Lake City,US,82.11,scattered clouds,30.1897,-82.6393,Ramada Limited Lake City
366,Uromi,NG,76.14,light rain,6.7,6.3333,Royal Motel
367,Pingxiang,CN,81.57,light rain,27.6167,113.85,Haiyuntian Hotel
370,Palasa,IN,84.15,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
372,Bonthe,SL,77.14,light rain,7.5264,-12.505,Bonthe Holiday Village
374,Stratford-Upon-Avon,GB,74.84,overcast clouds,52.1917,-1.7073,DoubleTree by Hilton Stratford-upon-Avon
378,Vila Franca Do Campo,PT,73.81,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
379,Timucuy,MX,80.94,clear sky,20.8167,-89.5167,"Quinta ""Monte Margarita"""
380,Mayumba,GA,73.33,broken clouds,-3.432,10.6554,LIKWALE LODGE
385,Salalah,OM,77.23,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
388,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
391,Arcos,BR,78.28,clear sky,-20.2819,-45.5394,Victor Plaza Hotel Arcos
394,Maturin,VE,83.08,scattered clouds,9.75,-63.1767,Hotel Residencial La Pichincha
395,Mahibadhoo,MV,80.2,overcast clouds,3.7833,72.9667,Omadhoo Inn
396,Pitimbu,BR,81.19,few clouds,-7.4706,-34.8086,Reserva do Abiaí
401,Mersing,MY,80.51,scattered clouds,2.4312,103.8405,Timotel Hotel
406,Djambala,CG,83.53,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
407,Polur,IN,79.72,overcast clouds,12.5,79.1333,Kaviya pavan
